,C(=O)C,CC(=O)C,C#C,CC#C,N,CN,C(=O)O,CC(=O)O,C#N,CC#N,C1CCCCC1,CC1CCCCC1,C1CC1,CC1CC1,FCF,FC(F)C,C=C,CC=C,C1=CC=C(F)C=C1,CC1=CC=C(F)C=C1,O,CO,C(C)C,CC(C)C,OC,COC,C,CC,[N+](=O)[O-],C[N+](=O)[O-],N=O,CN=O,C1=CC=C([N+](=O)[O-])C=C1,CC1=CC=C([N+](=O)[O-])C=C1,C(F)(F)F,CC(F)(F)F,c1ccc(cc1)O,Cc1ccc(cc1)O,C1=CC=CC=C1,CC1=CC=CC=C1,C1=CNC=C1,C1=C(C)NC=C1,Cc1ccccc1,Cc1ccc(C)cc1
molwt,44.026215,58.041865,26.01565,40.0313,17.026549,31.042199,46.005479,60.021129,27.010899,41.026549,84.0939,98.10955,42.04695,56.0626,52.012457,66.028107,28.0313,42.04695,96.037528,110.053178,18.010565,32.026215,44.0626,58.07825,32.026215,46.041865,16.0313,30.04695,45.992903,61.016378,31.005814,45.021464,123.032028,137.047678,70.003035,84.018685,94.041865,108.057515,78.04695,92.0626,67.042199,81.057849,92.0626,106.07825
molwt-hvy,40.021,52.032,24.022,36.033,14.007,26.018,44.009,56.02,26.018,38.029,72.066,84.077,36.033,48.044,50.007,62.018,24.022,36.033,91.064,103.075,15.999,28.01,36.033,48.044,28.01,40.021,12.011,24.022,46.005,58.016,30.006,42.017,118.071,130.082,69.005,81.016,88.065,100.076,72.066,84.077,62.051,74.062,84.077,96.088
e-valence,18.0,24.0,10.0,16.0,8.0,14.0,18.0,24.0,10.0,16.0,36.0,42.0,18.0,24.0,20.0,26.0,12.0,18.0,36.0,42.0,8.0,14.0,20.0,26.0,14.0,20.0,8.0,14.0,17.0,24.0,12.0,18.0,46.0,52.0,26.0,32.0,36.0,42.0,30.0,36.0,26.0,32.0,36.0,42.0
balabanj,3.791118,4.398991,2.82584,3.722077,2.32379,3.541197,2.847379,3.823378,2.475534,3.552734,3.716516,3.927011,2.913119,3.090735,3.023716,4.020392,3.675949,4.399516,3.603567,3.680736,1.632993,3.16849,4.748409,5.542726,3.16849,3.746418,3.023716,4.020392,2.187496,3.791118,2.187496,3.445991,3.682463,3.773039,3.023716,4.020392,3.563758,3.672818,3.603567,3.680736,3.436146,3.468512,3.680736,3.785534
bertzct,82.180809,124.052368,40.793988,100.328877,8.0,53.590719,42.912609,94.701658,26.264663,75.774438,247.705275,410.729101,105.852638,197.587975,23.119415,67.01955,55.617271,125.728624,230.203225,379.775332,2.754888,37.302969,120.39661,165.593463,37.302969,76.211433,19.119415,61.509775,10.264663,85.425922,12.264663,56.303763,390.16827,466.971181,22.364528,67.509775,320.463093,394.370607,226.30309,375.426816,184.797706,310.132593,375.426816,406.116876
ipc,17.086166,63.579808,6.854753,18.141709,3.245112,17.086166,9.651484,35.647376,2.754888,12.164797,2781.789193,9184.693206,69.83327,254.458072,3.60964,21.306059,13.60964,50.070311,416.314365,1235.837423,2.754888,12.164797,88.551982,312.080511,12.164797,27.435741,3.60964,21.306059,2.754888,17.086166,2.754888,12.164797,971.550388,2886.987268,3.60964,21.306059,701.867737,2085.250282,416.314365,1235.837423,174.102666,532.649695,1235.837423,3673.145375
hk-alpha,-0.33,-0.33,-0.44,-0.44,-0.04,-0.04,-0.53,-0.53,-0.51,-0.51,0.0,0.0,0.0,0.0,-0.14,-0.14,-0.26,-0.26,-0.8500000000000001,-0.8500000000000001,-0.04,-0.04,0.0,0.0,-0.04,-0.04,0.0,0.0,-0.6000000000000001,-0.6000000000000001,-0.4,-0.4,-1.38,-1.38,-0.21000000000000002,-0.21000000000000002,-0.98,-0.98,-0.78,-0.78,-0.7200000000000001,-0.7200000000000001,-0.78,-0.78
hk-kappa1,0.231621,0.348057,0.074648,0.20153,0.000175,0.050852,0.443274,0.505725,0.161141,0.274207,0.462963,0.571429,0.148148,0.25,0.664075,0.670921,0.042409,0.138474,1.312018,1.350652,0.0004,0.073424,0.12,0.213018,0.073424,0.179464,0.0,0.040816,2.4,0.671605,0.225,0.314556,2.096777,2.051423,2.053852,1.492363,1.050014,1.127691,0.738431,0.83817,0.534682,0.641394,0.83817,0.942002
hk-kappa2,1.67,1.044532,0.56,1.56,-27.04,0.96,1.47,0.874858,0.49,1.49,2.222222,2.34375,0.222222,0.48,1.86,1.20965,0.74,1.74,1.734967,1.948262,-27.04,0.96,2.0,1.333333,0.96,1.96,0.0,0.0,1.4,0.816667,0.6,1.6,2.259334,2.473197,1.148423,0.880016,1.646196,1.864622,1.605769,1.783286,0.930799,1.167541,1.783286,1.993745
hk-kappa3,1.67,6.883958,-4.712727,1.56,-104.04,-27.04,1.47,1.156009,-4.470784,1.49,1.0,1.5,0.0,0.222222,1.86,70.186531,-6.106154,1.74,0.999577,1.059403,-104.04,-27.04,0.0,0.0,-27.04,1.96,0.0,0.0,1.4,0.622222,-4.9,1.6,1.252832,1.31284,25.33195,275.363696,0.929059,0.997109,0.582399,1.038264,0.293364,0.432339,1.038264,1.093537
